proc,cfg,length,nruns,elapsed
"glmnet Binomial naive","(0.0,1000,100)",0,17,1.0184612
"glmnet Binomial naive","(0.1,1000,100)",0,15,1.014066432
"glmnet Binomial naive","(0.2,1000,100)",0,15,1.00424283
"glmnet Binomial naive","(0.5,1000,100)",0,12,1.077494682
"glmnet Binomial naive","(0.9,1000,100)",0,7,1.164689194
"glmnet Binomial naive","(0.95,1000,100)",0,5,1.230962212
"glmnet Binomial naive","(0.0,5000,100)",0,5,1.184487425
"glmnet Binomial naive","(0.1,5000,100)",0,5,1.199657957
"glmnet Binomial naive","(0.2,5000,100)",0,4,1.002960793
"glmnet Binomial naive","(0.5,5000,100)",0,4,1.18039865
"glmnet Binomial naive","(0.9,5000,100)",0,2,1.037430939
"glmnet Binomial naive","(0.95,5000,100)",0,2,1.476351827
"glmnet Binomial naive","(0.0,100,500)",0,49,0.903463627
"glmnet Binomial naive","(0.1,100,500)",0,64,1.033427888
"glmnet Binomial naive","(0.2,100,500)",0,56,1.019901344
"glmnet Binomial naive","(0.5,100,500)",0,55,1.050496338
"glmnet Binomial naive","(0.9,100,500)",0,28,1.047545796
"glmnet Binomial naive","(0.95,100,500)",0,16,1.069102445
"glmnet Binomial naive","(0.0,100,1000)",0,46,0.980092037
"glmnet Binomial naive","(0.1,100,1000)",0,45,1.048093482
"glmnet Binomial naive","(0.2,100,1000)",0,50,1.039117049
"glmnet Binomial naive","(0.5,100,1000)",0,37,1.043503592
"glmnet Binomial naive","(0.9,100,1000)",0,18,1.03762404
"glmnet Binomial naive","(0.95,100,1000)",0,16,1.035202784
"glmnet Binomial naive","(0.0,100,5000)",0,15,1.004800761
"glmnet Binomial naive","(0.1,100,5000)",0,15,0.988961298
"glmnet Binomial naive","(0.2,100,5000)",0,16,1.029815449
"glmnet Binomial naive","(0.5,100,5000)",0,14,1.005470789
"glmnet Binomial naive","(0.9,100,5000)",0,10,1.000963154
"glmnet Binomial naive","(0.95,100,5000)",0,9,1.023991546
"Lasso.jl Binomial naive","(0.0,1000,100)",0,26,1.024895926
"Lasso.jl Binomial naive","(0.1,1000,100)",0,24,1.038419192
"Lasso.jl Binomial naive","(0.2,1000,100)",0,23,0.96459699
"Lasso.jl Binomial naive","(0.5,1000,100)",0,20,0.949993359
"Lasso.jl Binomial naive","(0.9,1000,100)",0,15,1.065105277
"Lasso.jl Binomial naive","(0.95,1000,100)",0,11,1.074403912
"Lasso.jl Binomial naive","(0.0,5000,100)",0,6,1.168887163
"Lasso.jl Binomial naive","(0.1,5000,100)",0,6,1.214160069
"Lasso.jl Binomial naive","(0.2,5000,100)",0,5,1.021502641
"Lasso.jl Binomial naive","(0.5,5000,100)",0,5,1.096491944
"Lasso.jl Binomial naive","(0.9,5000,100)",0,4,1.17939001
"Lasso.jl Binomial naive","(0.95,5000,100)",0,3,1.149204394
"Lasso.jl Binomial naive","(0.0,100,500)",0,46,1.017064551
"Lasso.jl Binomial naive","(0.1,100,500)",0,55,1.029248475
"Lasso.jl Binomial naive","(0.2,100,500)",0,51,1.024979469
"Lasso.jl Binomial naive","(0.5,100,500)",0,51,0.996189569
"Lasso.jl Binomial naive","(0.9,100,500)",0,41,1.026767818
"Lasso.jl Binomial naive","(0.95,100,500)",0,18,1.038658671
"Lasso.jl Binomial naive","(0.0,100,1000)",0,34,1.028902599
"Lasso.jl Binomial naive","(0.1,100,1000)",0,32,1.032744263
"Lasso.jl Binomial naive","(0.2,100,1000)",0,35,1.032773862
"Lasso.jl Binomial naive","(0.5,100,1000)",0,31,1.045275554
"Lasso.jl Binomial naive","(0.9,100,1000)",0,19,1.024811996
"Lasso.jl Binomial naive","(0.95,100,1000)",0,20,1.031234007
"Lasso.jl Binomial naive","(0.0,100,5000)",0,8,1.067719748
"Lasso.jl Binomial naive","(0.1,100,5000)",0,8,1.138085618
"Lasso.jl Binomial naive","(0.2,100,5000)",0,8,1.087602637
"Lasso.jl Binomial naive","(0.5,100,5000)",0,8,1.078288522
"Lasso.jl Binomial naive","(0.9,100,5000)",0,5,0.991992346
"Lasso.jl Binomial naive","(0.95,100,5000)",0,3,1.195915293
