proc,cfg,length,nruns,elapsed
"glmnet Normal naive","(0.0,1000,100)",0,45,1.018772383
"glmnet Normal naive","(0.1,1000,100)",0,45,1.021045641
"glmnet Normal naive","(0.2,1000,100)",0,47,1.011860399
"glmnet Normal naive","(0.5,1000,100)",0,25,1.032542215
"glmnet Normal naive","(0.9,1000,100)",0,12,1.04067729
"glmnet Normal naive","(0.95,1000,100)",0,7,1.098572809
"glmnet Normal naive","(0.0,5000,100)",0,11,1.040517249
"glmnet Normal naive","(0.1,5000,100)",0,11,1.013486661
"glmnet Normal naive","(0.2,5000,100)",0,9,0.956069702
"glmnet Normal naive","(0.5,5000,100)",0,8,1.08863347
"glmnet Normal naive","(0.9,5000,100)",0,3,1.120182767
"glmnet Normal naive","(0.95,5000,100)",0,2,1.221438646
"glmnet Normal naive","(0.0,100,500)",0,88,0.967323973
"glmnet Normal naive","(0.1,100,500)",0,89,1.089419344
"glmnet Normal naive","(0.2,100,500)",0,90,1.022711283
"glmnet Normal naive","(0.5,100,500)",0,71,1.03275422
"glmnet Normal naive","(0.9,100,500)",0,38,1.062472829
"glmnet Normal naive","(0.95,100,500)",0,28,1.080678329
"glmnet Normal naive","(0.0,100,1000)",0,66,0.937787645
"glmnet Normal naive","(0.1,100,1000)",0,71,1.036391347
"glmnet Normal naive","(0.2,100,1000)",0,66,1.028958534
"glmnet Normal naive","(0.5,100,1000)",0,57,1.046105938
"glmnet Normal naive","(0.9,100,1000)",0,21,1.058631385
"glmnet Normal naive","(0.95,100,1000)",0,18,0.969871746
"glmnet Normal naive","(0.0,100,5000)",0,21,0.997511923
"glmnet Normal naive","(0.1,100,5000)",0,21,1.048050099
"glmnet Normal naive","(0.2,100,5000)",0,21,1.024138911
"glmnet Normal naive","(0.5,100,5000)",0,20,1.061901708
"glmnet Normal naive","(0.9,100,5000)",0,15,1.002317979
"glmnet Normal naive","(0.95,100,5000)",0,5,1.289507465
"Lasso.jl Normal naive","(0.0,1000,100)",0,97,0.99814767
"Lasso.jl Normal naive","(0.1,1000,100)",0,103,1.046717366
"Lasso.jl Normal naive","(0.2,1000,100)",0,93,1.00671868
"Lasso.jl Normal naive","(0.5,1000,100)",0,66,1.014826478
"Lasso.jl Normal naive","(0.9,1000,100)",0,42,1.052741004
"Lasso.jl Normal naive","(0.95,1000,100)",0,33,1.024520841
"Lasso.jl Normal naive","(0.0,5000,100)",0,20,1.043908445
"Lasso.jl Normal naive","(0.1,5000,100)",0,19,1.054353425
"Lasso.jl Normal naive","(0.2,5000,100)",0,18,1.046737624
"Lasso.jl Normal naive","(0.5,5000,100)",0,15,1.068696153
"Lasso.jl Normal naive","(0.9,5000,100)",0,8,1.016563703
"Lasso.jl Normal naive","(0.95,5000,100)",0,6,0.964675746
"Lasso.jl Normal naive","(0.0,100,500)",0,90,0.991120344
"Lasso.jl Normal naive","(0.1,100,500)",0,91,1.006130646
"Lasso.jl Normal naive","(0.2,100,500)",0,100,0.995372803
"Lasso.jl Normal naive","(0.5,100,500)",0,103,1.006777232
"Lasso.jl Normal naive","(0.9,100,500)",0,83,1.008809277
"Lasso.jl Normal naive","(0.95,100,500)",0,89,0.983418047
"Lasso.jl Normal naive","(0.0,100,1000)",0,72,0.988483455
"Lasso.jl Normal naive","(0.1,100,1000)",0,85,1.020026164
"Lasso.jl Normal naive","(0.2,100,1000)",0,67,1.006115591
"Lasso.jl Normal naive","(0.5,100,1000)",0,70,0.988268716
"Lasso.jl Normal naive","(0.9,100,1000)",0,59,1.006606916
"Lasso.jl Normal naive","(0.95,100,1000)",0,65,1.0048197
"Lasso.jl Normal naive","(0.0,100,5000)",0,24,0.969500375
"Lasso.jl Normal naive","(0.1,100,5000)",0,23,0.966654653
"Lasso.jl Normal naive","(0.2,100,5000)",0,22,0.891860238
"Lasso.jl Normal naive","(0.5,100,5000)",0,23,0.958341832
"Lasso.jl Normal naive","(0.9,100,5000)",0,22,1.080253729
"Lasso.jl Normal naive","(0.95,100,5000)",0,22,1.03789198
"glmnet Normal cov","(0.0,1000,100)",0,154,1.009872108
"glmnet Normal cov","(0.1,1000,100)",0,151,0.988292461
"glmnet Normal cov","(0.2,1000,100)",0,155,0.995449048
"glmnet Normal cov","(0.5,1000,100)",0,133,0.984732774
"glmnet Normal cov","(0.9,1000,100)",0,102,0.981930397
"glmnet Normal cov","(0.95,1000,100)",0,82,1.005851726
"glmnet Normal cov","(0.0,5000,100)",0,36,0.984285591
"glmnet Normal cov","(0.1,5000,100)",0,37,0.996112875
"glmnet Normal cov","(0.2,5000,100)",0,38,1.033379697
"glmnet Normal cov","(0.5,5000,100)",0,38,1.034584501
"glmnet Normal cov","(0.9,5000,100)",0,35,1.014767962
"glmnet Normal cov","(0.95,5000,100)",0,34,1.032462645
"glmnet Normal cov","(0.0,100,500)",0,64,0.963242831
"glmnet Normal cov","(0.1,100,500)",0,69,1.014888483
"glmnet Normal cov","(0.2,100,500)",0,73,1.044579429
"glmnet Normal cov","(0.5,100,500)",0,51,1.026239019
"glmnet Normal cov","(0.9,100,500)",0,28,1.08182988
"glmnet Normal cov","(0.95,100,500)",0,27,1.047868431
"glmnet Normal cov","(0.0,100,1000)",0,41,1.040255602
"glmnet Normal cov","(0.1,100,1000)",0,40,1.039723437
"glmnet Normal cov","(0.2,100,1000)",0,38,1.047760869
"glmnet Normal cov","(0.5,100,1000)",0,28,1.066834431
"glmnet Normal cov","(0.9,100,1000)",0,18,1.052072396
"glmnet Normal cov","(0.95,100,1000)",0,16,1.061788093
"glmnet Normal cov","(0.0,100,5000)",0,8,0.991717729
"glmnet Normal cov","(0.1,100,5000)",0,9,1.113823885
"glmnet Normal cov","(0.2,100,5000)",0,8,1.057829305
"glmnet Normal cov","(0.5,100,5000)",0,7,1.061886502
"glmnet Normal cov","(0.9,100,5000)",0,4,1.174429023
"glmnet Normal cov","(0.95,100,5000)",0,4,1.302646805
"Lasso.jl Normal cov","(0.0,1000,100)",0,329,0.950162482
"Lasso.jl Normal cov","(0.1,1000,100)",0,352,0.993921466
"Lasso.jl Normal cov","(0.2,1000,100)",0,347,1.023306329
"Lasso.jl Normal cov","(0.5,1000,100)",0,296,1.006862947
"Lasso.jl Normal cov","(0.9,1000,100)",0,236,0.997098433
"Lasso.jl Normal cov","(0.95,1000,100)",0,200,0.980497579
"Lasso.jl Normal cov","(0.0,5000,100)",0,88,0.927013378
"Lasso.jl Normal cov","(0.1,5000,100)",0,100,1.042281188
"Lasso.jl Normal cov","(0.2,5000,100)",0,99,1.040357635
"Lasso.jl Normal cov","(0.5,5000,100)",0,92,0.978114248
"Lasso.jl Normal cov","(0.9,5000,100)",0,90,1.095482601
"Lasso.jl Normal cov","(0.95,5000,100)",0,81,1.026850883
"Lasso.jl Normal cov","(0.0,100,500)",0,96,1.008832691
"Lasso.jl Normal cov","(0.1,100,500)",0,97,1.04886344
"Lasso.jl Normal cov","(0.2,100,500)",0,103,1.008376969
"Lasso.jl Normal cov","(0.5,100,500)",0,108,1.040164845
"Lasso.jl Normal cov","(0.9,100,500)",0,83,0.852736428
"Lasso.jl Normal cov","(0.95,100,500)",0,111,0.960719931
"Lasso.jl Normal cov","(0.0,100,1000)",0,62,0.971272342
"Lasso.jl Normal cov","(0.1,100,1000)",0,68,1.011533039
"Lasso.jl Normal cov","(0.2,100,1000)",0,61,1.021519749
"Lasso.jl Normal cov","(0.5,100,1000)",0,64,1.044015292
"Lasso.jl Normal cov","(0.9,100,1000)",0,59,1.02265752
"Lasso.jl Normal cov","(0.95,100,1000)",0,73,0.976152728
"Lasso.jl Normal cov","(0.0,100,5000)",0,12,0.912354191
"Lasso.jl Normal cov","(0.1,100,5000)",0,12,0.973769588
"Lasso.jl Normal cov","(0.2,100,5000)",0,10,0.927184589
"Lasso.jl Normal cov","(0.5,100,5000)",0,12,0.969683411
"Lasso.jl Normal cov","(0.9,100,5000)",0,12,1.058161361
"Lasso.jl Normal cov","(0.95,100,5000)",0,14,0.994426451
